process	sample_id	histone_mark	download_source	download_path	experiment_title	run	experiment	srp_id	platform	sequencer	input_id
no	KOPT-K1	H3K36me3	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54379	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1143149/SRR1143149.1	GSM1314124: H3K36me3 ChIP-seq in KOPT-K1; Homo sapiens; ChIP-Seq	SRR1143149	SRX448942	SRP035662	ILLUMINA	HiSeq2000	Input
no	KOPT-K1	H3K36me3	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54379	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1143150/SRR1143150.1	GSM1314124: H3K36me3 ChIP-seq in KOPT-K1; Homo sapiens; ChIP-Seq	SRR1143150	SRX448942	SRP035662	ILLUMINA	HiSeq2000	Input
no	KOPT-K1	H3K4me1	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54379	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1143151/SRR1143151.1	GSM1314125: H3K4me1 ChIP-seq in KOPT-K1; Homo sapiens; ChIP-Seq	SRR1143151	SRX448943	SRP035662	ILLUMINA	HiSeq2000	Input
no	KOPT-K1	H3K4me1	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54379	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1143152/SRR1143152.1	GSM1314125: H3K4me1 ChIP-seq in KOPT-K1; Homo sapiens; ChIP-Seq	SRR1143152	SRX448943	SRP035662	ILLUMINA	HiSeq2000	Input
no	KOPT-K1	H3K4me1	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54379	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1143153/SRR1143153.1	GSM1314125: H3K4me1 ChIP-seq in KOPT-K1; Homo sapiens; ChIP-Seq	SRR1143153	SRX448943	SRP035662	ILLUMINA	HiSeq2000	Input
no	KOPT-K1	H3K4me1	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54379	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1143154/SRR1143154.1	GSM1314125: H3K4me1 ChIP-seq in KOPT-K1; Homo sapiens; ChIP-Seq	SRR1143154	SRX448943	SRP035662	ILLUMINA	HiSeq2000	Input
no	KOPT-K1	H3K4me1	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54379	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1143155/SRR1143155.1	GSM1314125: H3K4me1 ChIP-seq in KOPT-K1; Homo sapiens; ChIP-Seq	SRR1143155	SRX448943	SRP035662	ILLUMINA	HiSeq2000	Input
no	KOPT-K1	H3K4me3	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54379	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1143156/SRR1143156.1	GSM1314126: H3K4me3 ChIP-seq in KOPT-K1; Homo sapiens; ChIP-Seq	SRR1143156	SRX448944	SRP035662	ILLUMINA	HiSeq2000	Input
no	KOPT-K1	H3K4me3	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54379	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1143157/SRR1143157.1	GSM1314126: H3K4me3 ChIP-seq in KOPT-K1; Homo sapiens; ChIP-Seq	SRR1143157	SRX448944	SRP035662	ILLUMINA	HiSeq2000	Input
no	KOPT-K1	H3K4me3	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54379	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1143158/SRR1143158.1	GSM1314126: H3K4me3 ChIP-seq in KOPT-K1; Homo sapiens; ChIP-Seq	SRR1143158	SRX448944	SRP035662	ILLUMINA	HiSeq2000	Input
no	KOPT-K1	H3K4me3	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54379	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1143159/SRR1143159.1	GSM1314126: H3K4me3 ChIP-seq in KOPT-K1; Homo sapiens; ChIP-Seq	SRR1143159	SRX448944	SRP035662	ILLUMINA	HiSeq2000	Input
no	KOPT-K1	H3K4me3	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54379	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1143160/SRR1143160.1	GSM1314126: H3K4me3 ChIP-seq in KOPT-K1; Homo sapiens; ChIP-Seq	SRR1143160	SRX448944	SRP035662	ILLUMINA	HiSeq2000	Input
no	KOPT-K1	Input	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54379	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1143161/SRR1143161.1	GSM1314127: Whole Cell Extracts in KOPT-K1; Homo sapiens; ChIP-Seq	SRR1143161	SRX448945	SRP035662	ILLUMINA	HiSeq2000	Input
no	KOPT-K1	Input	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54379	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1143162/SRR1143162.1	GSM1314127: Whole Cell Extracts in KOPT-K1; Homo sapiens; ChIP-Seq	SRR1143162	SRX448945	SRP035662	ILLUMINA	HiSeq2000	Input
no	KOPT-K1	Input	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54379	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1143163/SRR1143163.1	GSM1314127: Whole Cell Extracts in KOPT-K1; Homo sapiens; ChIP-Seq	SRR1143163	SRX448945	SRP035662	ILLUMINA	HiSeq2000	Input
no	KOPT-K1	Input	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54379	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1143164/SRR1143164.1	GSM1314127: Whole Cell Extracts in KOPT-K1; Homo sapiens; ChIP-Seq	SRR1143164	SRX448945	SRP035662	ILLUMINA	HiSeq2000	Input
no	KOPT-K1	Input	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54379	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1143165/SRR1143165.1	GSM1314127: Whole Cell Extracts in KOPT-K1; Homo sapiens; ChIP-Seq	SRR1143165	SRX448945	SRP035662	ILLUMINA	HiSeq2000	Input
no	KOPT-K1	Input	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54379	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1143166/SRR1143166.1	GSM1314127: Whole Cell Extracts in KOPT-K1; Homo sapiens; ChIP-Seq	SRR1143166	SRX448945	SRP035662	ILLUMINA	HiSeq2000	Input
no	KOPT-K1	Input	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54379	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1143167/SRR1143167.1	GSM1314127: Whole Cell Extracts in KOPT-K1; Homo sapiens; ChIP-Seq	SRR1143167	SRX448945	SRP035662	ILLUMINA	HiSeq2000	Input
no	KOPT-K1	Input	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54379	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1143168/SRR1143168.1	GSM1314127: Whole Cell Extracts in KOPT-K1; Homo sapiens; ChIP-Seq	SRR1143168	SRX448945	SRP035662	ILLUMINA	HiSeq2000	Input
no	KOPT-K1	Input	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54379	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1143169/SRR1143169.1	GSM1314127: Whole Cell Extracts in KOPT-K1; Homo sapiens; ChIP-Seq	SRR1143169	SRX448945	SRP035662	ILLUMINA	HiSeq2000	Input
no	KOPT-K1	Input	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54379	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1143170/SRR1143170.1	GSM1314127: Whole Cell Extracts in KOPT-K1; Homo sapiens; ChIP-Seq	SRR1143170	SRX448945	SRP035662	ILLUMINA	HiSeq2000	Input
no	DND-41	H3K27ac	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54379	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1143213/SRR1143213.1	GSM1314136: H3K27ac ChIP-seq in DND-41; Homo sapiens; ChIP-Seq	SRR1143213	SRX448954	SRP035662	ILLUMINA	HiSeq2000	Input
no	DND-41	H3K27ac	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54379	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1143214/SRR1143214.1	GSM1314136: H3K27ac ChIP-seq in DND-41; Homo sapiens; ChIP-Seq	SRR1143214	SRX448954	SRP035662	ILLUMINA	HiSeq2000	Input
no	DND-41	H3K27ac	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54379	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1143215/SRR1143215.1	GSM1314136: H3K27ac ChIP-seq in DND-41; Homo sapiens; ChIP-Seq	SRR1143215	SRX448954	SRP035662	ILLUMINA	HiSeq2000	Input
no	DND-41	H3K27ac	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54379	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1143216/SRR1143216.1	GSM1314136: H3K27ac ChIP-seq in DND-41; Homo sapiens; ChIP-Seq	SRR1143216	SRX448954	SRP035662	ILLUMINA	HiSeq2000	Input
no	DND-41	H3K27me3	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54379	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1143217/SRR1143217.1	GSM1314137: H3K27me3 ChIP-seq in DND-41; Homo sapiens; ChIP-Seq	SRR1143217	SRX448955	SRP035662	ILLUMINA	HiSeq2000	Input
no	DND-41	H3K27me3	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54379	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1143218/SRR1143218.1	GSM1314137: H3K27me3 ChIP-seq in DND-41; Homo sapiens; ChIP-Seq	SRR1143218	SRX448955	SRP035662	ILLUMINA	HiSeq2000	Input
no	DND-41	H3K27me3	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54379	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1143219/SRR1143219.1	GSM1314137: H3K27me3 ChIP-seq in DND-41; Homo sapiens; ChIP-Seq	SRR1143219	SRX448955	SRP035662	ILLUMINA	HiSeq2000	Input
no	DND-41	H3K27me3	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54379	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1143220/SRR1143220.1	GSM1314137: H3K27me3 ChIP-seq in DND-41; Homo sapiens; ChIP-Seq	SRR1143220	SRX448955	SRP035662	ILLUMINA	HiSeq2000	Input
no	DND-41	H3K36me3	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54379	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1143221/SRR1143221.1	GSM1314138: H3K36me3 ChIP-seq in DND-41; Homo sapiens; ChIP-Seq	SRR1143221	SRX448956	SRP035662	ILLUMINA	HiSeq2000	Input
no	DND-41	H3K36me3	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54379	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1143222/SRR1143222.1	GSM1314138: H3K36me3 ChIP-seq in DND-41; Homo sapiens; ChIP-Seq	SRR1143222	SRX448956	SRP035662	ILLUMINA	HiSeq2000	Input
no	DND-41	H3K36me3	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54379	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1143223/SRR1143223.1	GSM1314138: H3K36me3 ChIP-seq in DND-41; Homo sapiens; ChIP-Seq	SRR1143223	SRX448956	SRP035662	ILLUMINA	HiSeq2000	Input
no	DND-41	H3K36me3	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54379	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1143224/SRR1143224.1	GSM1314138: H3K36me3 ChIP-seq in DND-41; Homo sapiens; ChIP-Seq	SRR1143224	SRX448956	SRP035662	ILLUMINA	HiSeq2000	Input
no	DND-41	H3K4me1	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54379	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1143225/SRR1143225.1	GSM1314139: H3K4me1 ChIP-seq in DND-41; Homo sapiens; ChIP-Seq	SRR1143225	SRX448957	SRP035662	ILLUMINA	HiSeq2000	Input
no	DND-41	H3K4me1	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54379	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1143226/SRR1143226.1	GSM1314139: H3K4me1 ChIP-seq in DND-41; Homo sapiens; ChIP-Seq	SRR1143226	SRX448957	SRP035662	ILLUMINA	HiSeq2000	Input
no	DND-41	H3K4me1	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54379	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1143227/SRR1143227.1	GSM1314139: H3K4me1 ChIP-seq in DND-41; Homo sapiens; ChIP-Seq	SRR1143227	SRX448957	SRP035662	ILLUMINA	HiSeq2000	Input
no	DND-41	H3K4me1	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54379	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1143228/SRR1143228.1	GSM1314139: H3K4me1 ChIP-seq in DND-41; Homo sapiens; ChIP-Seq	SRR1143228	SRX448957	SRP035662	ILLUMINA	HiSeq2000	Input
no	DND-41	H3K4me3	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54379	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1143229/SRR1143229.1	GSM1314140: H3K4me3 ChIP-seq in DND-41; Homo sapiens; ChIP-Seq	SRR1143229	SRX448958	SRP035662	ILLUMINA	HiSeq2000	Input
no	DND-41	H3K4me3	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54379	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1143230/SRR1143230.1	GSM1314140: H3K4me3 ChIP-seq in DND-41; Homo sapiens; ChIP-Seq	SRR1143230	SRX448958	SRP035662	ILLUMINA	HiSeq2000	Input
no	DND-41	H3K4me3	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54379	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1143231/SRR1143231.1	GSM1314140: H3K4me3 ChIP-seq in DND-41; Homo sapiens; ChIP-Seq	SRR1143231	SRX448958	SRP035662	ILLUMINA	HiSeq2000	Input
no	DND-41	H3K4me3	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54379	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1143232/SRR1143232.1	GSM1314140: H3K4me3 ChIP-seq in DND-41; Homo sapiens; ChIP-Seq	SRR1143232	SRX448958	SRP035662	ILLUMINA	HiSeq2000	Input
no	DND-41	Input	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54379	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1143233/SRR1143233.1	GSM1314141: Whole Cell Extracts in DND-41; Homo sapiens; ChIP-Seq	SRR1143233	SRX448959	SRP035662	ILLUMINA	HiSeq2000	Input
no	DND-41	Input	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE54379	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1143234/SRR1143234.1	GSM1314141: Whole Cell Extracts in DND-41; Homo sapiens; ChIP-Seq	SRR1143234	SRX448959	SRP035662	ILLUMINA	HiSeq2000	Input
yes	Jurkat	H3K36me3	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE65687	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-2/SRR1791404/SRR1791404.1	GSM1603209: H3K36me3_GFP_ChIPSeq; Homo sapiens; ChIP-Seq	SRR1791404	SRX867181	SRP053266	SOLID	AB5500xlGeneticAnalyzer	Input
yes	Jurkat	H3K36me3	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE65687	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-2/SRR1791405/SRR1791405.1	GSM1603209: H3K36me3_GFP_ChIPSeq; Homo sapiens; ChIP-Seq	SRR1791405	SRX867181	SRP053266	SOLID	AB5500xlGeneticAnalyzer	Input
yes	Jurkat	H3K36me3	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE65687	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-2/SRR1791406/SRR1791406.1	GSM1603209: H3K36me3_GFP_ChIPSeq; Homo sapiens; ChIP-Seq	SRR1791406	SRX867181	SRP053266	SOLID	AB5500xlGeneticAnalyzer	Input
yes	Jurkat	H3K36me3	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE65687	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-2/SRR1791407/SRR1791407.1	GSM1603209: H3K36me3_GFP_ChIPSeq; Homo sapiens; ChIP-Seq	SRR1791407	SRX867181	SRP053266	SOLID	AB5500xlGeneticAnalyzer	Input
yes	Jurkat	H3K36me3	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE65687	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-2/SRR1791408/SRR1791408.1	GSM1603209: H3K36me3_GFP_ChIPSeq; Homo sapiens; ChIP-Seq	SRR1791408	SRX867181	SRP053266	SOLID	AB5500xlGeneticAnalyzer	Input
yes	Jurkat	H3K36me3	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE65687	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-2/SRR1791409/SRR1791409.1	GSM1603209: H3K36me3_GFP_ChIPSeq; Homo sapiens; ChIP-Seq	SRR1791409	SRX867181	SRP053266	SOLID	AB5500xlGeneticAnalyzer	Input
yes	Jurkat	H3K27ac	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE65687	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-2/SRR1791413/SRR1791413.1	GSM1603211: H3K27Ac_GFP_ChIPSeq; Homo sapiens; ChIP-Seq	SRR1791413	SRX867183	SRP053266	SOLID	AB5500xlGeneticAnalyzer	Input
yes	Jurkat	H3K27ac	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE65687	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-2/SRR1791414/SRR1791414.1	GSM1603211: H3K27Ac_GFP_ChIPSeq; Homo sapiens; ChIP-Seq	SRR1791414	SRX867183	SRP053266	SOLID	AB5500xlGeneticAnalyzer	Input
yes	Jurkat	H3K27ac	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE65687	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-2/SRR1791415/SRR1791415.1	GSM1603211: H3K27Ac_GFP_ChIPSeq; Homo sapiens; ChIP-Seq	SRR1791415	SRX867183	SRP053266	SOLID	AB5500xlGeneticAnalyzer	Input
yes	Jurkat	H3K27ac	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE65687	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-2/SRR1791416/SRR1791416.1	GSM1603211: H3K27Ac_GFP_ChIPSeq; Homo sapiens; ChIP-Seq	SRR1791416	SRX867183	SRP053266	SOLID	AB5500xlGeneticAnalyzer	Input
yes	Jurkat	H3K27ac	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE65687	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-2/SRR1791417/SRR1791417.1	GSM1603211: H3K27Ac_GFP_ChIPSeq; Homo sapiens; ChIP-Seq	SRR1791417	SRX867183	SRP053266	SOLID	AB5500xlGeneticAnalyzer	Input
yes	Jurkat	H3K27ac	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE65687	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-2/SRR1791418/SRR1791418.1	GSM1603211: H3K27Ac_GFP_ChIPSeq; Homo sapiens; ChIP-Seq	SRR1791418	SRX867183	SRP053266	SOLID	AB5500xlGeneticAnalyzer	Input
yes	Jurkat	H3K4me3	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE65687	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-2/SRR1791425/SRR1791425.1	GSM1603213: H3K4me3_GFP_ChIPSeq; Homo sapiens; ChIP-Seq	SRR1791425	SRX867185	SRP053266	SOLID	AB5500xlGeneticAnalyzer	Input
